after_stage,rank,rider,cumulative_s,gap_s,stages_completed,status
1,180,M. VALGREN,1615,308,1,DERIVED_REPRODUCIBLE
1,181,N. DENZ,1620,313,1,DERIVED_REPRODUCIBLE
1,182,T. VAN DIJKE,1624,317,1,DERIVED_REPRODUCIBLE
1,183,P. ALLEGAERT,1640,333,1,DERIVED_REPRODUCIBLE
1,184,S. VELASCO,1665,358,1,DERIVED_REPRODUCIBLE
2,1,J. VINGEGAARD,14508,0,2,DERIVED_REPRODUCIBLE
2,2,T. POGACAR,14514,6,2,DERIVED_REPRODUCIBLE
2,3,R. EVENEPOEL,14523,15,2,DERIVED_REPRODUCIBLE
2,4,I. DEL TORO,14524,16,2,DERIVED_REPRODUCIBLE
2,5,J. AYUSO,14527,19,2,DERIVED_REPRODUCIBLE
2,6,P. SEIXAS,14550,42,2,DERIVED_REPRODUCIBLE
2,7,R. GREGOIRE,14552,44,2,DERIVED_REPRODUCIBLE
2,8,F. LIPOWITZ,14553,45,2,DERIVED_REPRODUCIBLE
2,9,L. MARTINEZ,14561,53,2,DERIVED_REPRODUCIBLE
2,10,T. PIDCOCK,14568,60,2,DERIVED_REPRODUCIBLE
2,11,I. VAN WILDER,14569,61,2,DERIVED_REPRODUCIBLE
2,12,T. JOHANNESSEN,14571,63,2,DERIVED_REPRODUCIBLE
2,13,A. BAUDIN,14575,67,2,DERIVED_REPRODUCIBLE
2,14,T. FOSS,14589,81,2,DERIVED_REPRODUCIBLE
2,15,M. VAN DER POEL,14594,86,2,DERIVED_REPRODUCIBLE
2,16,M. SKJELMOSE,14604,96,2,DERIVED_REPRODUCIBLE
2,17,D. PIGANZOLI,14606,98,2,DERIVED_REPRODUCIBLE
2,18,L. VAN EETVELT,14607,99,2,DERIVED_REPRODUCIBLE
2,19,R. CARAPAZ,14611,103,2,DERIVED_REPRODUCIBLE
2,20,T. ARENSMAN,14616,108,2,DERIVED_REPRODUCIBLE
2,21,J. JEGAT,14640,132,2,DERIVED_REPRODUCIBLE
2,22,C. UIJTDEBROEKS,14648,140,2,DERIVED_REPRODUCIBLE
2,23,Y. VOISARD,14652,144,2,DERIVED_REPRODUCIBLE
2,24,I. IZAGIRRE,14656,148,2,DERIVED_REPRODUCIBLE
2,25,J. PARRA,14660,152,2,DERIVED_REPRODUCIBLE
