stage_number,rank,rider,bib,team,finish_time_s,gap_s,bonus_s,penalty_s,status
1,176,M. HALLER,193,TUDOR PRO CYCLING TEAM,1613,306,0,0,OBSERVED_FACT
1,177,J. PHILIPSEN,105,ALPECIN-PREMIER TECH,1614,307,0,0,OBSERVED_FACT
1,178,S. DILLIER,103,ALPECIN-PREMIER TECH,1614,307,0,0,OBSERVED_FACT
1,179,J. RICKAERT,107,ALPECIN-PREMIER TECH,1615,308,0,0,OBSERVED_FACT
1,180,M. VALGREN,47,EF EDUCATION - EASYPOST,1615,308,0,0,OBSERVED_FACT
1,181,N. DENZ,23,RED BULL - BORA - HANSGROHE,1620,313,0,0,OBSERVED_FACT
1,182,T. VAN DIJKE,27,RED BULL - BORA - HANSGROHE,1624,317,0,0,OBSERVED_FACT
1,183,P. ALLEGAERT,162,COFIDIS,1640,333,0,0,OBSERVED_FACT
1,184,S. VELASCO,67,XDS ASTANA TEAM,1665,358,0,0,OBSERVED_FACT
2,1,I. DEL TORO,2,UAE TEAM EMIRATES XRG,13201,0,10,0,OBSERVED_FACT
2,2,T. POGACAR,1,UAE TEAM EMIRATES XRG,13201,0,6,0,OBSERVED_FACT
2,3,R. EVENEPOEL,21,RED BULL - BORA - HANSGROHE,13201,0,4,0,OBSERVED_FACT
2,4,J. VINGEGAARD,11,TEAM VISMA | LEASE A BIKE,13201,0,0,0,OBSERVED_FACT
2,5,M. SKJELMOSE,35,LIDL-TREK,13204,3,0,0,OBSERVED_FACT
2,6,T. JOHANNESSEN,121,UNO-X MOBILITY,13204,3,0,0,OBSERVED_FACT
2,7,R. GREGOIRE,181,GROUPAMA-FDJ UNITED,13204,3,0,0,OBSERVED_FACT
2,8,L. MARTINEZ,71,BAHRAIN VICTORIOUS,13204,3,0,0,OBSERVED_FACT
2,9,P. SEIXAS,51,DECATHLON CMA CGM TEAM,13204,3,0,0,OBSERVED_FACT
2,10,T. PIDCOCK,171,PINARELLO-Q36.5 PRO CYCLING TEAM,13204,3,0,0,OBSERVED_FACT
2,11,L. VAN EETVELT,156,LOTTO INTERMARCHE,13204,3,0,0,OBSERVED_FACT
2,12,J. AYUSO,31,LIDL-TREK,13204,3,0,0,OBSERVED_FACT
2,13,I. VAN WILDER,97,SOUDAL QUICK-STEP,13204,3,0,0,OBSERVED_FACT
2,14,R. CARAPAZ,41,EF EDUCATION - EASYPOST,13208,7,0,0,OBSERVED_FACT
2,15,A. BAUDIN,43,EF EDUCATION - EASYPOST,13211,10,0,0,OBSERVED_FACT
2,16,F. LIPOWITZ,25,RED BULL - BORA - HANSGROHE,13211,10,0,0,OBSERVED_FACT
2,17,C. UIJTDEBROEKS,141,MOVISTAR TEAM,13228,27,0,0,OBSERVED_FACT
2,18,A. YATES,8,UAE TEAM EMIRATES XRG,13240,39,0,0,OBSERVED_FACT
