stage_number,kind,category,label,km_from_start,lon,lat,altitude_m,climb_length_km,avg_gradient_pct,final_straight_m,road_width_m,offset_source,status,description
9,SPRINT,,Sprint,,1.7234300000000644,45.12513000100006,,,,,,,NORMALIZED_FACT,"Sprint : sur la D921, route de Brive, à hauteur du passage de la Diligence à droite, 3 m avant le passage piétons (station-service Carrefour Market à gauche)."
9,START_CEREMONIAL,,Départ fictif,,1.5588000000000761,45.16497000000004,,,,,,,NORMALIZED_FACT,Départ fictif : avenue de la Riante Borie.
9,START_REAL,,Départ réel,,1.549250000000086,45.13916000000006,,,,,,,NORMALIZED_FACT,"Départ réel : sur la D38, 5 m après le panneau losange jaune et blanc de route prioritaire à droite, 150 m environ avant le panneau de sortie de Brive-la-Gaillarde."
9,SUMMIT,4,Catégorie 4,,2.122634377000054,45.570451450000064,977,0.90,1.20,,,,NORMALIZED_FACT,"Sommet de côte : sur la route forestière, à hauteur du coin final du grillage vert de l'enclos du relais TDF à gauche. Côte de 4ème catégorie. Altitude : 977 m. Distance : 0,9 km. Pente : 1,2 %."
9,SUMMIT,3,Catégorie 3,,1.7796200000000795,45.30490000000009,410,2.30,7.40,,,,NORMALIZED_FACT,"Sommet de côte : sur la D58, à hauteur du carrefour avec la rue Victor Forot menant vers Les Plantades à gauche. Côte de 3ème catégorie. Altitude : 410 m. Distance : 2,3 km. Pente : 7,4 %."
9,SUMMIT,3,Catégorie 3,,1.866119999000091,45.51970000000006,825,4.80,6.00,,,,NORMALIZED_FACT,"Sommet de côte : sur la D16, à hauteur du chemin à droite et du panneau ""La Croix du Pey"" en surplomb à gauche. Côte de 3ème catégorie. Altitude : 825 m. Distance : 4,8 km. Pente : 6 %."
9,SUMMIT,2,Catégorie 2,,1.8520200100000466,45.47132032800005,903,3.80,7.50,,,,NORMALIZED_FACT,"Sommet de col. Col de 2ème catégorie. Altitude : 903 m. Distance : 3,8 km. Pente : 7,5 %."
10,START_CEREMONIAL,,Départ fictif,,2.445730000000083,44.92736000000008,,,,,,,NORMALIZED_FACT,Départ fictif
10,START_REAL,,Départ réel,0.000,2.4048112140000626,44.87608808600004,,,,,,aso-arcgis,NORMALIZED_FACT,"Départ réel : sur la D617, à hauteur du renfoncement sur la gauche de la chaussée 5 m avant le panneau."
10,SPRINT,,Sprint,25.588,2.4365700000000743,44.78032500000006,,,,,,aso-arcgis,NORMALIZED_FACT,"Sprint : sur la commune de LACAPELLE-DEL-FRAISSE, D601, à hauteur du parking sur la gauche de la chaussée."
10,SUMMIT,3,Catégorie 3,68.093,2.676745270000083,44.95059166300007,1043,3.00,7.20,,,aso-arcgis,NORMALIZED_FACT,"Sommet de col : sur la D54, à hauteur du pylone électrique sur la gauche de la chaussée. Côte de 3ème catégorie. Altitude : 1043 m. Distance : 3 km. Pente : 7,2 %."
