stage_number,km_from_start,lon,lat,dem_count,elevation_min_m,elevation_max_m,elevation_mean_m,spread_m,sources
3,11.0000,2.1626377995426,41.658073790394596,1,360.00,360.00,360.00,0.00,COPERNICUS_GLO90
3,11.2000,2.1625579685298826,41.65987023602588,1,367.00,367.00,367.00,0.00,COPERNICUS_GLO90
3,11.4000,2.162341883399102,41.66166038313646,1,412.00,412.00,412.00,0.00,COPERNICUS_GLO90
3,11.6000,2.1627179575599738,41.66343455349326,1,410.00,410.00,410.00,0.00,COPERNICUS_GLO90
3,11.8000,2.163409705687347,41.66515520974974,1,417.00,417.00,417.00,0.00,COPERNICUS_GLO90
3,12.0000,2.1637722394939214,41.6669056092781,1,423.00,423.00,423.00,0.00,COPERNICUS_GLO90
3,12.2000,2.1638502657725858,41.66869474416324,1,416.00,416.00,416.00,0.00,COPERNICUS_GLO90
3,12.4000,2.164832521659828,41.670330397368254,1,431.00,431.00,431.00,0.00,COPERNICUS_GLO90
3,12.6000,2.165500670703846,41.67199731718461,1,443.00,443.00,443.00,0.00,COPERNICUS_GLO90
3,12.8000,2.1647561107365694,41.67369217991934,1,453.00,453.00,453.00,0.00,COPERNICUS_GLO90
3,13.0000,2.1641894759457236,41.67533857756696,1,447.00,447.00,447.00,0.00,COPERNICUS_GLO90
3,13.2000,2.165078597628212,41.676996828461455,1,451.00,451.00,451.00,0.00,COPERNICUS_GLO90
3,13.4000,2.1639766160593945,41.678573823073336,1,447.00,447.00,447.00,0.00,COPERNICUS_GLO90
3,13.6000,2.1641203986802187,41.680160217212006,1,462.00,462.00,462.00,0.00,COPERNICUS_GLO90
3,13.8000,2.16313,41.68175343871756,1,447.00,447.00,447.00,0.00,COPERNICUS_GLO90
3,14.0000,2.1635588561043706,41.683487712208745,1,469.00,469.00,469.00,0.00,COPERNICUS_GLO90
3,14.2000,2.1633288432410454,41.68523156758955,1,475.00,475.00,475.00,0.00,COPERNICUS_GLO90
3,14.4000,2.163748849068098,41.68696856133512,1,475.00,475.00,475.00,0.00,COPERNICUS_GLO90
3,14.6000,2.165057498695574,41.688477498695576,1,487.00,487.00,487.00,0.00,COPERNICUS_GLO90
3,14.8000,2.16640574016433,41.68960049344289,1,502.00,502.00,502.00,0.00,COPERNICUS_GLO90
3,15.0000,2.168741323156805,41.68992820226059,1,508.00,508.00,508.00,0.00,COPERNICUS_GLO90
3,15.2000,2.1697150673322385,41.69098932667762,1,529.00,529.00,529.00,0.00,COPERNICUS_GLO90
3,15.4000,2.170502988357425,41.69267015308366,1,540.00,540.00,540.00,0.00,COPERNICUS_GLO90
3,15.6000,2.171738803573446,41.69421398620378,1,543.00,543.00,543.00,0.00,COPERNICUS_GLO90
3,15.8000,2.1713650002220017,41.695056581010455,1,573.00,573.00,573.00,0.00,COPERNICUS_GLO90
3,16.0000,2.1695584290398187,41.69448157096018,1,556.00,556.00,556.00,0.00,COPERNICUS_GLO90
3,16.2000,2.1679412983662667,41.69536105760964,1,564.00,564.00,564.00,0.00,COPERNICUS_GLO90
3,16.4000,2.1683508273113006,41.69702821486434,1,577.00,577.00,577.00,0.00,COPERNICUS_GLO90
3,16.6000,2.167600376593161,41.698149172831826,1,588.00,588.00,588.00,0.00,COPERNICUS_GLO90
3,16.8000,2.1665301504810803,41.69970969903784,1,587.00,587.00,587.00,0.00,COPERNICUS_GLO90
3,17.0000,2.166433304912804,41.701346780348786,1,604.00,604.00,604.00,0.00,COPERNICUS_GLO90
3,17.2000,2.164586544733647,41.7024202250161,1,620.00,620.00,620.00,0.00,COPERNICUS_GLO90
3,17.4000,2.163188883565471,41.70349680222842,1,639.00,639.00,639.00,0.00,COPERNICUS_GLO90
3,17.6000,2.1636108002054355,41.704469188177896,1,604.00,604.00,604.00,0.00,COPERNICUS_GLO90
