bib,rider,team
204,A. DELETTRE,TOTALENERGIES
205,T. GUERNALEC,TOTALENERGIES
206,M. LE BERRE,TOTALENERGIES
207,A. TURGIS,TOTALENERGIES
208,M. VERCHER,TOTALENERGIES
211,W. BARGUIL,TEAM PICNIC POSTNL
212,F. BIESTERBOS,TEAM PICNIC POSTNL
213,P. BITTNER,TEAM PICNIC POSTNL
214,J. DEGENKOLB,TEAM PICNIC POSTNL
215,R. DHONDT,TEAM PICNIC POSTNL
216,N. MÄRKL,TEAM PICNIC POSTNL
217,J. VAN DEN BERG,TEAM PICNIC POSTNL
218,F. VAN DEN BROEK,TEAM PICNIC POSTNL
221,F. GAVIRIA,CAJA RURAL-SEGUROS RGA
222,A. BALDERSTONE,CAJA RURAL-SEGUROS RGA
223,S. BERWICK,CAJA RURAL-SEGUROS RGA
224,A. MOLENAAR,CAJA RURAL-SEGUROS RGA
225,J. NICOLAU,CAJA RURAL-SEGUROS RGA
226,S. OLDANI,CAJA RURAL-SEGUROS RGA
227,J. OTRUBA,CAJA RURAL-SEGUROS RGA
228,J. PARRA,CAJA RURAL-SEGUROS RGA
